idx,nameidx,image_resource_idx,normal_resource_idx,gender,age,disposition_type
5001,8001,4201,4318,2,16,1
5002,8003,4202,4319,2,16,1
5003,8004,4203,4320,2,16,1
5004,8112,4204,4321,2,16,1
5005,8113,4205,4322,2,16,1
5006,8114,4206,4323,2,16,1
5007,8115,4207,4324,2,16,1
5008,8116,4208,4325,2,16,1
5009,8118,4209,4326,2,16,1
5010,8119,4210,4327,2,16,1
5011,8120,4211,4328,2,16,1
5012,8001,4212,4329,2,16,1
5013,8003,4213,4330,2,16,2
5014,8112,4214,4331,2,16,2
5015,8113,4215,4332,2,16,2
5016,8114,4216,4333,2,16,3
5017,8115,4217,4334,2,16,3
5018,8116,4218,4335,2,16,3
5019,8118,4219,4336,2,16,4
5020,8119,4220,4337,2,16,4
5021,8120,4221,4338,2,16,4
5022,8001,4222,4339,2,16,5
5023,8003,4223,4340,2,16,5
5024,8112,4224,4341,2,16,5
5025,8082,4225,4342,2,4,1
5026,8122,4226,4343,2,4,1
5027,8082,4227,4344,2,4,1
5028,8002,4228,4345,2,8,1
5029,8083,4229,4346,2,8,1
5030,8121,4230,4347,2,8,1
5031,8085,4231,4348,1,16,1
5032,8086,4232,4349,1,16,1
5033,8087,4233,4350,1,16,1
5034,8088,4234,4351,1,16,1
5035,8089,4235,4352,1,16,1
5036,8090,4236,4353,1,16,1
5037,8091,4237,4354,1,16,1
5038,8092,4238,4355,1,16,1
5039,8093,4239,4356,1,16,1
5040,8094,4240,4357,1,16,1
5041,8095,4241,4358,1,16,1
5042,8096,4242,4359,1,16,1
5043,8097,4243,4360,1,16,2
5044,8098,4244,4361,1,16,2
5045,8099,4245,4362,1,16,2
5046,8100,4303,4363,1,16,3
5047,8111,4304,4364,1,16,3
5048,8123,4305,4365,1,16,3
5049,8124,4306,4366,1,16,4
5050,8125,4307,4367,1,16,4
5051,8126,4308,4368,1,16,4
5052,8127,4309,4369,1,16,5
5053,8107,4310,4370,1,16,5
5054,8108,4311,4371,1,16,5
5055,8107,4312,4372,1,4,1
5056,8109,4313,4373,1,4,1
5057,8110,4314,4374,1,4,1
5058,8128,4315,4375,1,8,1
5059,8085,4316,4376,1,8,1
5060,8086,4317,4377,1,8,1
