idx,nameidx,product_type,is_available,base_price,available_day,image_resource_idx,cost_price,required_facility_idx,top_view_image_resource_idx
1001,8012,1,1,1000,0,4276,500,,4276
1004,8015,2,1,2500,0,4277,1250,,4277
1005,8016,2,1,3500,0,4280,750,12001,4280
1006,8017,2,1,4500,0,4281,1000,12001,4281
1007,8018,3,1,3000,0,4278,1500,,4278
1010,8021,4,1,2000,0,4279,1000,,4279
1013,8061,3,1,5000,0,4282,2500,12002,4282
1014,8062,3,1,9000,0,4283,4500,12002,4283
1015,8063,5,1,8000,0,4284,4000,12003,4284
1016,8064,5,1,10000,0,4285,5000,12003,4285
1018,8066,6,1,20000,0,4286,10000,12004,4286
1019,8067,6,1,12000,0,4287,6000,12004,4287
1020,8068,7,1,25000,0,4288,12500,12005,4288
1021,8069,7,1,40000,0,4289,20000,12005,4289
1022,8070,7,1,50000,0,4290,25000,12006,4290
1023,8075,7,1,60000,0,4291,30000,12006,4291
