idx,ending_kind,page_order,text_idx,speaker_nameidx,background_resource_idx,sfx_resource_idx,delay_second
18001,2,1,8481,8232,4393,,
18002,2,2,8482,8479,4394,,
18003,2,3,8483,8478,4394,,
18004,2,4,8484,,4395,,
18009,2,5,8485,8479,4396,,
18010,2,6,8486,8478,4396,,
18011,2,7,8487,,4397,,
18012,2,8,8488,,,,
18013,4,1,8489,8478,4398,,
18014,4,2,8490,8479,4398,,
18015,4,3,8491,8478,4399,,
18016,4,4,8492,8479,4399,,
18017,4,5,8493,,4400,,
18018,4,6,8494,,4401,,
18019,4,7,,,4402,,
18020,4,8,8495,,,,
18005,3,1,8496,8479,4403,,
18006,3,2,8497,8478,4403,,
18007,3,3,8498,8478,4404,,
18008,3,4,8499,8478,4405,,
18021,3,5,8500,8480,4405,,
18022,3,6,8501,8479,4406,,
18023,3,7,8502,8478,4406,,
18024,3,8,,,4407,,
18035,3,9,,,,4416,3
18036,3,10,,,,4417,
18025,3,11,8503,,,,
18026,1,1,8504,8232,4408,,
18027,1,2,8505,8478,4408,,
18028,1,3,8506,8232,4409,,
18029,1,4,8507,8479,4410,,
18030,1,5,8508,8478,4410,,
18031,1,6,8509,,4411,,
18032,1,7,8510,8479,4412,,
18033,1,8,8511,8478,4412,,
18034,1,9,8512,,,,
