idx,nameidx,purchase_price,upgrade_kind,required_store_stage,effect_type,target_store_stage,stage1_resource_idx,stage2_resource_idx,stage3_resource_idx
12001,8056,80000,1,1,0,0,4380,4382,4386
12002,8057,100000,1,1,0,0,4381,4383,4387
12003,8058,350000,1,2,0,0,0,4384,4388
12004,8059,500000,1,2,0,0,0,4385,4389
12005,8060,750000,1,3,0,0,0,0,4390
12006,8076,1000000,1,3,0,0,0,0,4391
12007,8077,100000,2,1,1,0,0,0,0
12008,8078,0,3,1,0,2,0,0,0
12009,8079,300000,2,2,2,0,0,0,0
12010,8080,0,3,2,0,3,0,0,0
12011,8081,600000,2,3,3,0,0,0,0
12012,8231,3000000,4,3,0,0,0,0,0
