idx,day,maintenanceAmount
003001,1,2000
003002,2,3000
003003,3,4000
003004,4,5000
003005,5,6000
003006,6,7000
003007,7,8000
003008,8,9000
003009,9,10000
003010,10,11000
003011,11,12000
003012,12,13000
003013,13,14000
003014,14,15000
003015,15,16000
003016,16,17000
003017,17,18000
003018,18,19000
003019,19,20000
003020,20,21000
003021,21,22000
003022,22,23000
003023,23,24000
003024,24,25000
003025,25,26000
003026,26,27000
003027,27,28000
003028,28,29000
003029,29,30000
003030,30,31000
003031,31,32000
