idx,customer_disposition_type,is_accepted,offer_min_rate,offer_max_rate,include_min,include_max,adult_morality_point,child_elderly_morality_point
14001,1,1,0,800,0,1,1,2
14002,1,1,800,1000,0,0,0.5,1
14003,1,1,1000,1000,1,1,0,0
14004,1,1,1000,1050,0,1,-0.25,-0.5
14005,1,1,1050,1100,0,1,-0.5,-1
14006,1,1,1100,1200,0,1,-0.75,-1.5
14007,1,1,1200,1300,0,1,-1,-2
14008,1,0,1300,0,0,0,-2,-4
14009,2,1,0,800,0,1,6,9
14010,2,1,800,1000,0,0,3,4.5
14011,2,1,1000,1000,1,1,0,0
14012,2,1,1000,1100,0,1,-2,-3
14013,2,1,1100,1200,0,1,-4,-6
14014,2,1,1200,1300,0,1,-6,-9
14015,2,1,1300,1400,0,1,-8,-12
14016,2,1,1400,1500,0,1,-10,-15
14017,2,0,1500,0,0,0,-10,-15
14018,3,1,1000,1000,1,1,0,0
14019,3,0,0,1000,0,0,-2,-4
14020,3,0,1000,0,0,0,-2,-4
