idx,path
4001,Unit_3001
4002,Unit_3201
4003,Unit_3101
4004,Unit_3102
4005,Unit_3103
4010,PlayerAnimatorController
4011,GaronAnimatorController
4012,SpearSentryAnimatorController
4013,ShadowStalkerAnimatorController
4014,WaveHeavyAnimatorController
4015,ShieldSentinelAnimatorController
4016,OrbitalMarksmanAnimatorController
4020,Effect_8001
4021,Effect_8002
4022,Effect_8003
4030,Effect_8010
4031,Effect_8011
4032,Effect_8012
4033,Effect_8013
4040,Prefab_1040
4041,Prefab_1041
4042,Prefab_1042
4043,Tilemap_Room_Stage2_Entry
4044,Tilemap_Room_Stage2_Boss
4045,Projectile_1045
4006,Unit_3104
4007,Unit_3105
4008,Unit_3106
4050,Room_11050
4051,Room_11051
4052,Room_11052
4053,Room_11053
4056,Room_11056
4057,Room_11057
4061,Room_11061
4063,Room_11063
4070,Hazard_SpikeTrap
4071,Hazard_SawBladeTrap
4072,Room_11072
4073,Room_11073
4074,Room_11074
4075,Room_11075
4076,Room_11076
4077,Room_11077
4078,Room_11078
4079,Room_11079
4080,Room_11080
4081,Effect_8014
4082,Effect_8015
4083,Effect_8016
4084,Effect_8017
4085,Effect_8018
4086,Effect_8019
4087,Effect_8020
4088,Effect_8021
4089,Effect_8022
4090,Effect_8023
4092,Effect_8025
4093,Effect_8026
4094,Effect_8027
4095,Effect_8028
4096,Effect_8029
4097,Effect_8030
4098,Effect_8031
4099,Effect_8032
4101,Product_1001_Water
4104,Product_1004_Can
4106,Product_1006_Crackers
4107,Product_1007_Bandage
4109,Product_1009_Painkiller
4110,Product_1010_Battery
4199,Product_Placeholder
4201,FemaleCustomer_01
4202,FemaleCustomer_02
4203,FemaleCustomer_03
4204,FemaleCustomer_04
4205,FemaleCustomer_05
4206,FemaleCustomer_06
4207,FemaleCustomer_08
4208,FemaleCustomer_09
4209,FemaleCustomer_10
4210,FemaleCustomer_11
4211,FemaleCustomer_12
4212,FemaleCustomer_14
4213,FemaleCustomer_15
4214,FemaleCustomer_16
4215,FemaleCustomer_17
4216,FemaleCustomer_18
4217,FemaleCustomer_19
4218,FemaleCustomer_20
4219,MaleCustomer_01
4220,MaleCustomer_02
4221,MaleCustomer_03
4222,MaleCustomer_04
4223,MaleCustomer_05
4224,MaleCustomer_06
4225,MaleCustomer_07
4226,MaleCustomer_08
4227,MaleCustomer_09
4228,MaleCustomer_10
4229,MaleCustomer_12
4230,MaleCustomer_13
4231,MaleCustomer_14
4232,MaleCustomer_15
4233,MaleCustomer_16
4234,MaleCustomer_17
4235,MaleCustomer_18
4236,MaleCustomer_19
4237,MaleCustomer_21
4238,MaleCustomer_22
4239,MaleCustomer_23
4240,MaleCustomer_24
4241,MaleCustomer_25
4242,MaleCustomer_26
4243,MaleCustomer_28
4244,MaleCustomer_29
4245,MaleCustomer0
4246,Bandage
4247,Battery
4248,Can
4249,Crackers
4250,Painkiller
4251,TopDownCan
4252,TopDownCrackers
4253,TopDownWater
4254,Water
