demand,phase,mask,facility_ids,facilities,mean,mean_se,expected6,exact_target,band,rounded_target,achievement6,expected8
draft,0,0,,미구매,803.4229166666667,1.558213271146051,4820.5375,6025.671875,0,6000,0.8034229166666668,6427.383333333333
draft,0,1,12001,식량,1130.7,2.4137145686395236,6784.200000000001,8480.25,1,8500,0.7981411764705884,9045.6
draft,0,2,12002,약품,1825.4260416666666,5.055511984083175,10952.55625,13690.6953125,2,13600,0.8053350183823529,14603.408333333333
draft,0,3,12001_12002,식량+약품,1807.75,4.808793459125739,10846.5,13558.125,2,13600,0.7975367647058823,14462
draft,0,4,12003,공구,2546.131770833333,7.3657032057341,15276.790624999998,19095.98828125,3,18500,0.8257724662162161,20369.054166666665
draft,0,5,12001_12003,식량+공구,2381.3854166666665,7.036468172055771,14288.3125,17860.390625,3,18500,0.7723412162162162,19051.083333333332
draft,0,6,12002_12003,약품+공구,2714.9166666666665,7.355732162560196,16289.5,20361.875,4,21000,0.7756904761904762,21719.333333333332
draft,0,7,12001_12002_12003,식량+약품+공구,2526.7932291666666,7.023610967284154,15160.759375,18950.94921875,3,18500,0.8195005067567568,20214.345833333333
draft,0,8,12004,전력·통신,3088.602083333333,10.273851906819402,18531.6125,23164.515625,5,24000,0.7721505208333334,24708.816666666666
draft,0,9,12001_12004,식량+전력·통신,2830.765625,10.330706957192373,16984.59375,21230.7421875,4,21000,0.8087901785714285,22646.125
draft,0,10,12002_12004,약품+전력·통신,3193.280208333333,10.63166817081808,19159.681249999998,23949.6015625,5,24000,0.7983200520833332,25546.241666666665
draft,0,11,12001_12002_12004,식량+약품+전력·통신,2893.1765625,10.237692233289765,17359.059374999997,21698.82421875,4,21000,0.8266218749999998,23145.4125
draft,0,12,12003_12004,공구+전력·통신,3697.8802083333335,11.273725100672328,22187.28125,27734.1015625,6,27000,0.8217511574074075,29583.041666666668
draft,0,13,12001_12003_12004,식량+공구+전력·통신,3305.4333333333334,10.832703210014976,19832.6,24790.75,5,24000,0.8263583333333333,26443.466666666667
draft,0,14,12002_12003_12004,약품+공구+전력·통신,3505.1348958333333,10.585709099539491,21030.809375,26288.51171875,6,27000,0.7789188657407408,28041.079166666666
draft,0,15,12001_12002_12003_12004,식량+약품+공구+전력·통신,3219.0265625,10.215811166276941,19314.159375000003,24142.69921875,5,24000,0.8047566406250001,25752.2125
draft,0,16,12005,핵보호,8892.139583333334,31.273589830651417,53352.8375,66691.046875,9,67000,0.7963110074626866,71137.11666666667
draft,0,17,12001_12005,식량+핵보호,7404.648958333333,31.25325905367151,44427.89375,55534.8671875,8,55600,0.7990628372302159,59237.191666666666
draft,0,18,12002_12005,약품+핵보호,7323.665104166666,30.40874031109514,43941.990625,54927.48828125,8,55600,0.7903235723920863,58589.32083333333
draft,0,19,12001_12002_12005,식량+약품+핵보호,6364.229166666667,29.446532354445694,38185.375,47731.71875,7,46800,0.8159268162393163,50913.833333333336
draft,0,20,12003_12005,공구+핵보호,7563.7125,29.6101129830918,45382.274999999994,56727.84375,8,55600,0.8162279676258992,60509.7
draft,0,21,12001_12003_12005,식량+공구+핵보호,6585.222395833333,28.990884471445273,39511.334375,49389.16796875,7,46800,0.844259281517094,52681.77916666667
draft,0,22,12002_12003_12005,약품+공구+핵보호,6523.985416666666,27.930839250037597,39143.9125,48929.890625,7,46800,0.8364083867521367,52191.88333333333
draft,0,23,12001_12002_12003_12005,식량+약품+공구+핵보호,5883.886979166667,27.241610592178688,35303.321875,44129.15234375,7,46800,0.7543444845085471,47071.09583333333
draft,0,24,12004_12005,전력·통신+핵보호,8643.325,30.939434209662434,51859.950000000004,64824.93750000001,9,67000,0.774029104477612,69146.6
draft,0,25,12001_12004_12005,식량+전력·통신+핵보호,7370.538020833334,30.32679916372505,44223.228125,55279.03515625,8,55600,0.7953818008093525,58964.30416666667
draft,0,26,12002_12004_12005,약품+전력·통신+핵보호,7271.069791666667,29.193178573126353,43626.41875,54533.0234375,8,55600,0.7846478192446042,58168.558333333334
draft,0,27,12001_12002_12004_12005,식량+약품+전력·통신+핵보호,6456.708333333333,28.48575253824071,38740.25,48425.3125,7,46800,0.8277831196581197,51653.666666666664
draft,0,28,12003_12004_12005,공구+전력·통신+핵보호,7401.802083333333,28.36526398462429,44410.8125,55513.515625,8,55600,0.7987556205035972,59214.416666666664
draft,0,29,12001_12003_12004_12005,식량+공구+전력·통신+핵보호,6599.241145833334,27.81776574140139,39595.446875,49494.30859375,7,46800,0.8460565571581197,52793.92916666667
draft,0,30,12002_12003_12004_12005,약품+공구+전력·통신+핵보호,6554.9765625,26.923357021848922,39329.859375,49162.32421875,7,46800,0.8403816105769231,52439.8125
draft,0,31,12001_12002_12003_12004_12005,식량+약품+공구+전력·통신+핵보호,5981.1125,26.3748505509061,35886.675,44858.34375,7,46800,0.7668092948717949,47848.9
draft,0,32,12006,정밀장비,14844.569791666667,52.023559666956174,89067.41875,111334.2734375,13,115300,0.7724841175195143,118756.55833333333
draft,0,33,12001_12006,식량+정밀장비,12090.243229166666,51.6603675034034,72541.459375,90676.82421875,11,88400,0.8206047440610861,96721.94583333333
draft,0,34,12002_12006,약품+정밀장비,11655.440625,50.66808515054909,69932.64374999999,87415.8046875,11,88400,0.7910932550904977,93243.525
draft,0,35,12001_12002_12006,식량+약품+정밀장비,9952.525,49.203629472306346,59715.149999999994,74643.9375,10,77000,0.7755214285714285,79620.2
draft,0,36,12003_12006,공구+정밀장비,11718.348958333334,49.80330937946415,70310.09375,87887.6171875,11,88400,0.7953630514705883,93746.79166666667
draft,0,37,12001_12003_12006,식량+공구+정밀장비,10038.591145833334,48.63163771273078,60231.546875,75289.43359375,10,77000,0.7822278814935065,80308.72916666667
draft,0,38,12002_12003_12006,약품+공구+정밀장비,9714.296354166667,47.00710760175027,58285.778125,72857.22265625,10,77000,0.7569581574675325,77714.37083333333
draft,0,39,12001_12002_12003_12006,식량+약품+공구+정밀장비,8648.271354166667,45.79438926139226,51889.628125,64862.03515625,9,67000,0.7744720615671642,69186.17083333334
draft,0,40,12004_12006,전력·통신+정밀장비,13293.416145833333,50.745501186305034,79760.496875,99700.62109375,12,101700,0.7842723389872173,106347.32916666666
draft,0,41,12001_12004_12006,식량+전력·통신+정밀장비,11148.107291666667,49.64663826507934,66888.64375,83610.8046875,11,88400,0.7566588659502262,89184.85833333334
draft,0,42,12002_12004_12006,약품+전력·통신+정밀장비,10796.553125,48.348266508857,64779.318750000006,80974.1484375,10,77000,0.841289853896104,86372.425
draft,0,43,12001_12002_12004_12006,식량+약품+전력·통신+정밀장비,9478.091666666667,47.01328534642572,56868.55,71085.6875,9,67000,0.848784328358209,75824.73333333334
draft,0,44,12003_12004_12006,공구+전력·통신+정밀장비,10803.794791666667,47.36758089103931,64822.76875,81028.4609375,10,77000,0.8418541396103897,86430.35833333334
draft,0,45,12001_12003_12004_12006,식량+공구+전력·통신+정밀장비,9482.0890625,46.133529701683855,56892.534374999996,71115.66796875,9,67000,0.8491423041044776,75856.7125
draft,0,46,12002_12003_12004_12006,약품+공구+전력·통신+정밀장비,9268.290104166666,44.924345228220346,55609.740625,69512.17578125,9,67000,0.8299961287313432,74146.32083333333
draft,0,47,12001_12002_12003_12004_12006,식량+약품+공구+전력·통신+정밀장비,8376.085416666667,43.93736698629978,50256.5125,62820.640625,9,67000,0.7500972014925372,67008.68333333333
draft,0,48,12005_12006,핵보호+정밀장비,15893.83125,51.41366024756043,95362.98749999999,119203.734375,13,115300,0.827085754553339,127150.65
draft,0,49,12001_12005_12006,식량+핵보호+정밀장비,13511.277604166668,51.348716324982476,81067.66562500001,101334.58203125,12,101700,0.7971255223697149,108090.22083333334
draft,0,50,12002_12005_12006,약품+핵보호+정밀장비,13023.801041666668,49.893517633786665,78142.80625000001,97678.5078125,12,101700,0.7683658431661751,104190.40833333334
draft,0,51,12001_12002_12005_12006,식량+약품+핵보호+정밀장비,11495.3734375,49.256544522858746,68972.240625,86215.30078125,11,88400,0.7802289663461539,91962.9875
draft,0,52,12003_12005_12006,공구+핵보호+정밀장비,12903.421354166667,48.49790678273151,77420.528125,96775.66015625,12,101700,0.761263796705998,103227.37083333333
draft,0,53,12001_12003_12005_12006,식량+공구+핵보호+정밀장비,11440.8515625,48.39790869777595,68645.109375,85806.38671875,11,88400,0.7765283865950227,91526.8125
draft,0,54,12002_12003_12005_12006,약품+공구+핵보호+정밀장비,11164.015104166667,47.125120475647876,66984.090625,83730.11328125,11,88400,0.7577385817307692,89312.12083333333
draft,0,55,12001_12002_12003_12005_12006,식량+약품+공구+핵보호+정밀장비,10129.053125,46.57361630747049,60774.318750000006,75967.8984375,10,77000,0.7892768668831169,81032.425
draft,0,56,12004_12005_12006,전력·통신+핵보호+정밀장비,14209.486979166666,48.50519891067124,85256.921875,106571.15234375,12,101700,0.8383178158800393,113675.89583333333
draft,0,57,12001_12004_12005_12006,식량+전력·통신+핵보호+정밀장비,12425.447916666666,48.76590814751131,74552.6875,93190.859375,11,88400,0.843356193438914,99403.58333333333
draft,0,58,12002_12004_12005_12006,약품+전력·통신+핵보호+정밀장비,12096.9953125,47.59774326143708,72581.97187499999,90727.46484375,11,88400,0.8210630302601809,96775.9625
draft,0,59,12001_12002_12004_12005_12006,식량+약품+전력·통신+핵보호+정밀장비,10833.632291666667,47.138896033366855,65001.79375,81252.2421875,10,77000,0.8441791396103896,86669.05833333333
draft,0,60,12003_12004_12005_12006,공구+전력·통신+핵보호+정밀장비,11985.402083333332,46.49926101523181,71912.41249999999,89890.515625,11,88400,0.8134888291855202,95883.21666666666
draft,0,61,12001_12003_12004_12005_12006,식량+공구+전력·통신+핵보호+정밀장비,10806.269791666668,46.341075628145475,64837.61875000001,81047.0234375,10,77000,0.8420469967532469,86450.15833333334
draft,0,62,12002_12003_12004_12005_12006,약품+공구+전력·통신+핵보호+정밀장비,10585.118229166666,45.32695585628467,63510.709375,79388.38671875,10,77000,0.8248144074675324,84680.94583333333
draft,0,63,12001_12002_12003_12004_12005_12006,식량+약품+공구+전력·통신+핵보호+정밀장비,9706.944270833334,44.834070298454854,58241.665625,72802.08203125,10,77000,0.7563852678571429,77655.55416666667
