phase,stage,mask,facilities,mean,expected6,target,expected8,achievement6
0,0,0,미구매,803.4229166666667,4820.5375,6000,6427.383333333333,0.8034229166666668
0,1,1,식량,1130.7,6784.200000000001,8500,9045.6,0.7981411764705884
0,2,3,식량+약품,1807.75,10846.5,13600,14462,0.7975367647058823
0,3,7,식량+약품+공구,2526.7932291666666,15160.759375,19000,20214.345833333333,0.7979347039473684
0,4,15,식량+약품+공구+전력·통신,3219.0265625,19314.159375000003,24100,25752.2125,0.8014174014522822
0,5,31,식량+약품+공구+전력·통신+핵보호,5981.1125,35886.675,44900,47848.9,0.7992577951002228
0,6,63,식량+약품+공구+전력·통신+핵보호+정밀장비,9706.944270833334,58241.665625,72800,77655.55416666667,0.8000228794642857
1,0,0,미구매,811.9734375,4871.840625000001,6100,6495.7875,0.7986623975409837
1,1,1,식량,1068.2927083333334,6409.75625,8000,8546.341666666667,0.80121953125
1,2,3,식량+약품,1783.9630208333333,10703.778125,13400,14271.704166666666,0.7987894123134329
1,3,7,식량+약품+공구,2605.534375,15633.206250000001,19500,20844.275,0.8017028846153846
1,4,15,식량+약품+공구+전력·통신,3345.272395833333,20071.634374999998,25100,26762.179166666665,0.7996667081673305
1,5,31,식량+약품+공구+전력·통신+핵보호,6016.960416666667,36101.7625,45100,48135.683333333334,0.8004825388026607
1,6,63,식량+약품+공구+전력·통신+핵보호+정밀장비,9549.459375,57296.756250000006,71600,76395.675,0.8002340258379889
2,0,0,미구매,813.6713541666667,4882.028125,6100,6509.370833333333,0.8003324795081966
2,1,1,식량,1042.3588541666666,6254.153124999999,7800,8338.870833333332,0.801814503205128
2,2,3,식량+약품,1713.3958333333333,10280.375,12900,13707.166666666666,0.7969282945736434
2,3,7,식량+약품+공구,2507.3953125,15044.371874999999,18800,20059.1625,0.8002325465425532
2,4,15,식량+약품+공구+전력·통신,3249.25625,19495.5375,24400,25994.05,0.7989974385245902
2,5,31,식량+약품+공구+전력·통신+핵보호,6433.7453125,38602.471875,48300,51469.9625,0.7992230201863355
2,6,63,식량+약품+공구+전력·통신+핵보호+정밀장비,9995.6640625,59973.984375,75000,79965.3125,0.799653125
