demand,phase,band,count,min_mean,max_mean,representative,target,min_achievement6,max_achievement6,masks
draft,0,0,1,803.4229166666667,803.4229166666667,800.0,6000,0.8034229166666668,0.8034229166666668,0
draft,0,1,1,1130.7,1130.7,1133.3333333333333,8500,0.7981411764705884,0.7981411764705884,1
draft,0,2,2,1807.75,1825.4260416666666,1813.3333333333333,13600,0.7975367647058823,0.8053350183823529,3_2
draft,0,3,3,2381.3854166666665,2546.131770833333,2466.6666666666665,18500,0.7723412162162162,0.8257724662162161,5_7_4
draft,0,4,3,2714.9166666666665,2893.1765625,2800.0,21000,0.7756904761904762,0.8266218749999998,6_9_11
draft,0,5,4,3088.602083333333,3305.4333333333334,3200.0,24000,0.7721505208333334,0.8263583333333333,8_10_15_13
draft,0,6,2,3505.1348958333333,3697.8802083333335,3600.0,27000,0.7789188657407408,0.8217511574074075,14_12
draft,0,7,8,5883.886979166667,6599.241145833334,6240.0,46800,0.7543444845085471,0.8460565571581197,23_31_19_27_22_30_21_29
draft,0,8,6,7271.069791666667,7563.7125,7413.333333333333,55600,0.7846478192446042,0.8162279676258992,26_18_25_28_17_20
draft,0,9,7,8376.085416666667,9482.0890625,8933.333333333334,67000,0.7500972014925372,0.8491423041044776,47_24_39_16_46_43_45
draft,0,10,10,9706.944270833334,10833.632291666667,10266.666666666666,77000,0.7563852678571429,0.8441791396103896,63_38_35_37_55_62_42_44_61_59
draft,0,11,10,11148.107291666667,12425.447916666666,11786.666666666666,88400,0.7566588659502262,0.843356193438914,41_54_53_51_34_36_60_33_58_57
draft,0,12,5,12903.421354166667,14209.486979166666,13560.0,101700,0.761263796705998,0.8383178158800393,52_50_40_49_56
draft,0,13,2,14844.569791666667,15893.83125,15373.333333333334,115300,0.7724841175195143,0.827085754553339,32_48
draft,1,0,1,811.9734375,811.9734375,813.3333333333334,6100,0.7986623975409837,0.7986623975409837,0
draft,1,1,1,1068.2927083333334,1068.2927083333334,1066.6666666666667,8000,0.80121953125,0.80121953125,1
draft,1,2,2,1720.5786458333334,1783.9630208333333,1746.6666666666667,13100,0.788051288167939,0.8170822996183207,2_3
draft,1,3,3,2421.403125,2605.534375,2520.0,18900,0.7686994047619047,0.8271537698412699,5_4_7
draft,1,4,4,2751.2734375,2993.7364583333333,2866.6666666666665,21500,0.767797238372093,0.8354613372093024,6_8_9_11
draft,1,5,4,3222.3328125,3578.3880208333335,3400.0,25500,0.7581959558823528,0.8419736519607843,10_15_13_14
draft,1,6,1,3698.2916666666665,3698.2916666666665,3693.3333333333335,27700,0.8010740072202166,0.8010740072202166,12
draft,1,7,8,5909.665104166666,6564.435416666666,6240.0,46800,0.7576493723290598,0.8415942841880341,23_31_19_22_30_27_21_29
draft,1,8,7,7071.527604166667,7668.096354166667,7373.333333333333,55300,0.7672543512658229,0.8319815212477396,18_26_17_20_28_25_16
draft,1,9,4,8138.1453125,9069.90625,8600.0,64500,0.7570367732558139,0.8437122093023256,24_47_39_46
draft,1,10,11,9332.408854166666,10525.802604166667,9933.333333333334,74500,0.7516033976510067,0.8477156459731544,45_38_43_63_37_35_55_62_44_42_61
draft,1,11,10,10727.796875,11739.748958333334,11240.0,84300,0.7635442615658363,0.8355693208778172,54_59_41_36_53_34_51_60_33_58
draft,1,12,7,12185.0953125,13595.653125,12893.333333333334,96700,0.7560555519648396,0.8435772362978284,57_52_40_50_32_49_56
draft,1,13,1,15061.525,15061.525,15066.666666666666,113000,0.7997269911504424,0.7997269911504424,48
draft,2,0,1,813.6713541666667,813.6713541666667,813.3333333333334,6100,0.8003324795081966,0.8003324795081966,0
draft,2,1,1,1042.3588541666666,1042.3588541666666,1040.0,7800,0.801814503205128,0.801814503205128,1
draft,2,2,2,1555.8276041666666,1713.3958333333333,1640.0,12300,0.7589402947154471,0.8358028455284553,2_3
draft,2,3,2,2076.679166666667,2212.2630208333335,2146.6666666666665,16100,0.7739177018633541,0.8244458462732919,4_5
draft,2,4,4,2507.3953125,2591.634375,2546.6666666666665,19100,0.7876634489528795,0.8141259816753927,7_8_6_9
draft,2,5,3,2883.0817708333334,3249.25625,3066.6666666666665,23000,0.7521082880434782,0.8476320652173912,11_10_15
draft,2,6,3,3262.2625,3460.0057291666667,3360.0,25200,0.7767291666666666,0.8238108878968253,13_12_14
