demand,phase,before_mask,after_mask,added_facility,mean_before,mean_after,change_rate,target_before,target_after
draft,0,0,1,12001,803.4229166666667,1130.7,0.4073534330974504,6000,8500
draft,0,0,2,12002,803.4229166666667,1825.4260416666666,1.2720612068674915,6000,13600
draft,0,0,4,12003,803.4229166666667,2546.131770833333,2.169105234634104,6000,18500
draft,0,0,8,12004,803.4229166666667,3088.602083333333,2.8443041880703137,6000,24000
draft,0,0,16,12005,803.4229166666667,8892.139583333334,10.067819200659677,6000,67000
draft,0,0,32,12006,803.4229166666667,14844.569791666667,17.476657167380193,6000,115300
draft,0,1,3,12002,1130.7,1807.75,0.5987883611921818,8500,13600
draft,0,1,5,12003,1130.7,2381.3854166666665,1.1061160490551574,8500,18500
draft,0,1,9,12004,1130.7,2830.765625,1.5035514504289376,8500,21000
draft,0,1,17,12005,1130.7,7404.648958333333,5.5487299534211845,8500,55600
draft,0,1,33,12006,1130.7,12090.243229166666,9.692706490816898,8500,88400
draft,0,2,3,12001,1825.4260416666666,1807.75,-0.009683241754635974,13600,13600
draft,0,2,6,12003,1825.4260416666666,2714.9166666666665,0.4872783693760989,13600,21000
draft,0,2,10,12004,1825.4260416666666,3193.280208333333,0.7493342022324696,13600,24000
draft,0,2,18,12005,1825.4260416666666,7323.665104166666,3.0120305819018274,13600,55600
draft,0,2,34,12006,1825.4260416666666,11655.440625,5.385052233810714,13600,88400
draft,0,3,7,12003,1807.75,2526.7932291666666,0.39775590052090526,13600,18500
draft,0,3,11,12004,1807.75,2893.1765625,0.6004295740561469,13600,21000
draft,0,3,19,12005,1807.75,6364.229166666667,2.520525054164938,13600,46800
draft,0,3,35,12006,1807.75,9952.525,4.505476420965288,13600,77000
draft,0,4,5,12001,2546.131770833333,2381.3854166666665,-0.06470456716100992,18500,18500
draft,0,4,6,12002,2546.131770833333,2714.9166666666665,0.06629071510234175,18500,21000
draft,0,4,12,12004,2546.131770833333,3697.8802083333335,0.45235225085111774,18500,27000
draft,0,4,20,12005,2546.131770833333,7563.7125,1.9706681274883286,18500,55600
draft,0,4,36,12006,2546.131770833333,11718.348958333334,3.60241260588724,18500,88400
draft,0,5,7,12002,2381.3854166666665,2526.7932291666666,0.061060175930502725,18500,18500
draft,0,5,13,12004,2381.3854166666665,3305.4333333333334,0.3880295521252073,18500,24000
draft,0,5,21,12005,2381.3854166666665,6585.222395833333,1.7652904690459423,18500,46800
