demand,phase,mask,active_guidelines,assumed_violations,penalty,exact_target,sales6,penalty_per_exact_target,penalty_per_sales6
draft,0,0,0,0,0,6025.671875,4820.5375,0.0,0.0
draft,0,1,0,0,0,8480.25,6784.200000000001,0.0,0.0
draft,0,2,0,0,0,13690.6953125,10952.55625,0.0,0.0
draft,0,3,0,0,0,13558.125,10846.5,0.0,0.0
draft,0,4,0,0,0,19095.98828125,15276.790624999998,0.0,0.0
draft,0,5,0,0,0,17860.390625,14288.3125,0.0,0.0
draft,0,6,0,0,0,20361.875,16289.5,0.0,0.0
draft,0,7,0,0,0,18950.94921875,15160.759375,0.0,0.0
draft,0,8,0,0,0,23164.515625,18531.6125,0.0,0.0
draft,0,9,0,0,0,21230.7421875,16984.59375,0.0,0.0
draft,0,10,0,0,0,23949.6015625,19159.681249999998,0.0,0.0
draft,0,11,0,0,0,21698.82421875,17359.059374999997,0.0,0.0
draft,0,12,0,0,0,27734.1015625,22187.28125,0.0,0.0
draft,0,13,0,0,0,24790.75,19832.6,0.0,0.0
draft,0,14,0,0,0,26288.51171875,21030.809375,0.0,0.0
draft,0,15,0,0,0,24142.69921875,19314.159375000003,0.0,0.0
draft,0,16,0,0,0,66691.046875,53352.8375,0.0,0.0
draft,0,17,0,0,0,55534.8671875,44427.89375,0.0,0.0
draft,0,18,0,0,0,54927.48828125,43941.990625,0.0,0.0
draft,0,19,0,0,0,47731.71875,38185.375,0.0,0.0
draft,0,20,0,0,0,56727.84375,45382.274999999994,0.0,0.0
draft,0,21,0,0,0,49389.16796875,39511.334375,0.0,0.0
draft,0,22,0,0,0,48929.890625,39143.9125,0.0,0.0
draft,0,23,0,0,0,44129.15234375,35303.321875,0.0,0.0
draft,0,24,0,0,0,64824.93750000001,51859.950000000004,0.0,0.0
draft,0,25,0,0,0,55279.03515625,44223.228125,0.0,0.0
draft,0,26,0,0,0,54533.0234375,43626.41875,0.0,0.0
draft,0,27,0,0,0,48425.3125,38740.25,0.0,0.0
draft,0,28,0,0,0,55513.515625,44410.8125,0.0,0.0
draft,0,29,0,0,0,49494.30859375,39595.446875,0.0,0.0
draft,0,30,0,0,0,49162.32421875,39329.859375,0.0,0.0
draft,0,31,0,0,0,44858.34375,35886.675,0.0,0.0
draft,0,32,0,0,0,111334.2734375,89067.41875,0.0,0.0
draft,0,33,0,0,0,90676.82421875,72541.459375,0.0,0.0
draft,0,34,0,0,0,87415.8046875,69932.64374999999,0.0,0.0
draft,0,35,0,0,0,74643.9375,59715.149999999994,0.0,0.0
draft,0,36,0,0,0,87887.6171875,70310.09375,0.0,0.0
draft,0,37,0,0,0,75289.43359375,60231.546875,0.0,0.0
draft,0,38,0,0,0,72857.22265625,58285.778125,0.0,0.0
draft,0,39,0,0,0,64862.03515625,51889.628125,0.0,0.0
draft,0,40,0,0,0,99700.62109375,79760.496875,0.0,0.0
draft,0,41,0,0,0,83610.8046875,66888.64375,0.0,0.0
draft,0,42,0,0,0,80974.1484375,64779.318750000006,0.0,0.0
draft,0,43,0,0,0,71085.6875,56868.55,0.0,0.0
draft,0,44,0,0,0,81028.4609375,64822.76875,0.0,0.0
draft,0,45,0,0,0,71115.66796875,56892.534374999996,0.0,0.0
draft,0,46,0,0,0,69512.17578125,55609.740625,0.0,0.0
draft,0,47,0,0,0,62820.640625,50256.5125,0.0,0.0
draft,0,48,0,0,0,119203.734375,95362.98749999999,0.0,0.0
draft,0,49,0,0,0,101334.58203125,81067.66562500001,0.0,0.0
draft,0,50,0,0,0,97678.5078125,78142.80625000001,0.0,0.0
draft,0,51,0,0,0,86215.30078125,68972.240625,0.0,0.0
draft,0,52,0,0,0,96775.66015625,77420.528125,0.0,0.0
draft,0,53,0,0,0,85806.38671875,68645.109375,0.0,0.0
draft,0,54,0,0,0,83730.11328125,66984.090625,0.0,0.0
draft,0,55,0,0,0,75967.8984375,60774.318750000006,0.0,0.0
draft,0,56,0,0,0,106571.15234375,85256.921875,0.0,0.0
draft,0,57,0,0,0,93190.859375,74552.6875,0.0,0.0
draft,0,58,0,0,0,90727.46484375,72581.97187499999,0.0,0.0
draft,0,59,0,0,0,81252.2421875,65001.79375,0.0,0.0
draft,0,60,0,0,0,89890.515625,71912.41249999999,0.0,0.0
draft,0,61,0,0,0,81047.0234375,64837.61875000001,0.0,0.0
draft,0,62,0,0,0,79388.38671875,63510.709375,0.0,0.0
draft,0,63,0,0,0,72802.08203125,58241.665625,0.0,0.0
