product_idx,rule_idx,sold_quantity,allowed_quantity,base_price,extra_revenue,penalty,extra_after_penalty
1001,13001,1,0,100,100,500,-400
1001,13001,2,0,100,200,500,-300
1001,13001,3,0,100,300,500,-200
1001,13002,2,1,100,100,500,-400
1001,13002,3,1,100,200,500,-300
1004,13001,1,0,250,250,500,-250
1004,13001,2,0,250,500,500,0
1004,13001,3,0,250,750,500,250
1004,13002,2,1,250,250,500,-250
1004,13002,3,1,250,500,500,0
1005,13001,1,0,350,350,500,-150
1005,13001,2,0,350,700,500,200
1005,13001,3,0,350,1050,500,550
1005,13002,2,1,350,350,500,-150
1005,13002,3,1,350,700,500,200
1006,13001,1,0,450,450,500,-50
1006,13001,2,0,450,900,500,400
1006,13001,3,0,450,1350,500,850
1006,13002,2,1,450,450,500,-50
1006,13002,3,1,450,900,500,400
1007,13001,1,0,300,300,500,-200
1007,13001,2,0,300,600,500,100
1007,13001,3,0,300,900,500,400
1007,13002,2,1,300,300,500,-200
1007,13002,3,1,300,600,500,100
1009,13001,1,0,700,700,500,200
1009,13001,2,0,700,1400,500,900
1009,13001,3,0,700,2100,500,1600
1009,13002,2,1,700,700,500,200
1009,13002,3,1,700,1400,500,900
1010,13001,1,0,200,200,500,-300
1010,13001,2,0,200,400,500,-100
1010,13001,3,0,200,600,500,100
1010,13002,2,1,200,200,500,-300
1010,13002,3,1,200,400,500,-100
1011,13001,1,0,150,150,500,-350
1011,13001,2,0,150,300,500,-200
1011,13001,3,0,150,450,500,-50
1011,13002,2,1,150,150,500,-350
1011,13002,3,1,150,300,500,-200
1013,13001,1,0,500,500,500,0
1013,13001,2,0,500,1000,500,500
1013,13001,3,0,500,1500,500,1000
1013,13002,2,1,500,500,500,0
1013,13002,3,1,500,1000,500,500
1014,13001,1,0,900,900,500,400
1014,13001,2,0,900,1800,500,1300
1014,13001,3,0,900,2700,500,2200
1014,13002,2,1,900,900,500,400
1014,13002,3,1,900,1800,500,1300
1015,13001,1,0,800,800,500,300
1015,13001,2,0,800,1600,500,1100
1015,13001,3,0,800,2400,500,1900
1015,13002,2,1,800,800,500,300
1015,13002,3,1,800,1600,500,1100
1016,13001,1,0,1000,1000,500,500
1016,13001,2,0,1000,2000,500,1500
1016,13001,3,0,1000,3000,500,2500
1016,13002,2,1,1000,1000,500,500
1016,13002,3,1,1000,2000,500,1500
1017,13001,1,0,1200,1200,500,700
1017,13001,2,0,1200,2400,500,1900
1017,13001,3,0,1200,3600,500,3100
1017,13002,2,1,1200,1200,500,700
1017,13002,3,1,1200,2400,500,1900
1018,13001,1,0,2000,2000,500,1500
1018,13001,2,0,2000,4000,500,3500
1018,13001,3,0,2000,6000,500,5500
1018,13002,2,1,2000,2000,500,1500
1018,13002,3,1,2000,4000,500,3500
1019,13001,1,0,1200,1200,500,700
1019,13001,2,0,1200,2400,500,1900
1019,13001,3,0,1200,3600,500,3100
1019,13002,2,1,1200,1200,500,700
1019,13002,3,1,1200,2400,500,1900
1020,13001,1,0,2500,2500,500,2000
1020,13001,2,0,2500,5000,500,4500
1020,13001,3,0,2500,7500,500,7000
1020,13002,2,1,2500,2500,500,2000
1020,13002,3,1,2500,5000,500,4500
1021,13001,1,0,4000,4000,500,3500
1021,13001,2,0,4000,8000,500,7500
1021,13001,3,0,4000,12000,500,11500
1021,13002,2,1,4000,4000,500,3500
1021,13002,3,1,4000,8000,500,7500
1022,13001,1,0,5000,5000,500,4500
1022,13001,2,0,5000,10000,500,9500
1022,13001,3,0,5000,15000,500,14500
1022,13002,2,1,5000,5000,500,4500
1022,13002,3,1,5000,10000,500,9500
1023,13001,1,0,6000,6000,500,5500
1023,13001,2,0,6000,12000,500,11500
1023,13001,3,0,6000,18000,500,17500
1023,13002,2,1,6000,6000,500,5500
1023,13002,3,1,6000,12000,500,11500
1024,13001,1,0,6500,6500,500,6000
1024,13001,2,0,6500,13000,500,12500
1024,13001,3,0,6500,19500,500,19000
1024,13002,2,1,6500,6500,500,6000
1024,13002,3,1,6500,13000,500,12500
1025,13001,1,0,7000,7000,500,6500
1025,13001,2,0,7000,14000,500,13500
1025,13001,3,0,7000,21000,500,20500
1025,13002,2,1,7000,7000,500,6500
1025,13002,3,1,7000,14000,500,13500
