demand,phase,variant,label,scope,high_mean,full_mean,full_vs_high,high_sale_rate,full_sale_rate,negative_edges,worst_change,seven_day_cover_count
flat,0,baseline,현재 선호90%,baseline,16337.554166666667,10229.302083333334,-0.37387800040448727,1,1,102,-0.21093621594954592,58
flat,0,pref50,선호50%,existing_csv,15946.383333333333,10103.245833333332,-0.36642399582768514,1,1,98,-0.1900964643523034,58
flat,0,pref100,선호100%,existing_csv,16507.4875,10275.589583333332,-0.37751946906921285,1,1,102,-0.21719060701502566,58
flat,0,weight4,고급 진열4배,code_required,19152.814583333333,15261.447916666666,-0.20317466395006567,1,1,100,-0.10240704407331196,59
flat,0,weight20,고급 진열20배,diagnostic_code,20339.210416666665,18972.645833333332,-0.06718867425716402,1,1,76,-0.10070301866884196,59
flat,0,all,진열 제한 제거,diagnostic_code,10084.458333333334,6488.185416666666,-0.35661537762315787,1,1,108,-0.20027786156090022,35
flat,0,uniform,선호 무시,diagnostic_code,16308.966666666667,10258.033333333333,-0.37101880560591416,1,1,100,-0.20528322382468295,58
flat,0,all_uniform,진열 제한·선호 제거,diagnostic_code,11611.05,7797.970833333334,-0.32840089110516846,1,1,93,-0.19798937539525455,42
flat,0,strict,선호 없으면 미구매,code_required,4523.33125,5147.864583333333,0.13806933404077637,0.30104166666666665,0.5373333333333333,60,-0.2440828180906328,20
flat,0,strict_all,미구매 규칙·전체 진열,diagnostic_code,5904.035416666667,6488.185416666666,0.09894080214203771,0.6444166666666666,1,66,-0.14597395778381805,60
flat,0,top,고가순 진열,code_required,24525.5625,24525.5625,0.0,1,1,0,0,101
flat,1,baseline,현재 선호90%,baseline,14961.041666666666,9779.516666666666,-0.346334507679668,1,1,94,-0.16745979140267084,60
flat,1,pref50,선호50%,existing_csv,14349.429166666667,9530.73125,-0.3358111225678837,1,1,91,-0.1553371896617258,59
flat,1,pref100,선호100%,existing_csv,15225.558333333332,9879.210416666667,-0.3511429794309677,1,1,95,-0.17181239111647248,60
flat,1,weight4,고급 진열4배,code_required,18067.520833333332,13950.416666666666,-0.22787322093858564,1,1,76,-0.10809659598658274,65
flat,1,weight20,고급 진열20배,diagnostic_code,19862.175,17919.316666666666,-0.09781699805450983,1,1,53,-0.08213922135652202,80
flat,1,all,진열 제한 제거,diagnostic_code,10038.783333333333,6447.691666666667,-0.35772180227683636,1,1,108,-0.20405527230225443,36
flat,1,uniform,선호 무시,diagnostic_code,15436.320833333333,10070.310416666667,-0.34762236899606636,1,1,93,-0.15968615146582046,59
flat,1,all_uniform,진열 제한·선호 제거,diagnostic_code,11594.85,7842.785416666667,-0.32359750952649957,1,1,93,-0.20174268755736227,42
flat,1,strict,선호 없으면 미구매,code_required,5126.80625,6289.633333333333,0.2268131516250167,0.3795,0.678,47,-0.24109104994143657,26
flat,1,strict_all,미구매 규칙·전체 진열,diagnostic_code,5766.741666666667,6447.691666666667,0.11808227927671466,0.6351666666666667,1,65,-0.14473952131973564,64
flat,1,top,고가순 진열,code_required,20551.75,20551.75,0.0,1,1,6,-0.028827053032430754,107
flat,2,baseline,현재 선호90%,baseline,13181.25,9195.085416666667,-0.30241172751699064,1,1,85,-0.12550272615736088,56
flat,2,pref50,선호50%,existing_csv,12571.872916666667,9091.925,-0.2768042550011195,1,1,82,-0.11538464823870351,57
flat,2,pref100,선호100%,existing_csv,13420.308333333332,9307.245833333332,-0.3064804770382201,1,1,85,-0.12790660396042666,57
flat,2,weight4,고급 진열4배,code_required,14336.2125,12443.891666666666,-0.13199586943436648,1,1,55,-0.06430942652852766,68
flat,2,weight20,고급 진열20배,diagnostic_code,14435.116666666667,14571.427083333334,0.009442972981398512,1,1,34,-0.06430942652852766,79
flat,2,all,진열 제한 제거,diagnostic_code,9943.8875,6399.05,-0.3564840712447722,1,1,109,-0.20020213422567382,36
flat,2,uniform,선호 무시,diagnostic_code,14293.977083333333,9866.76875,-0.3097254394296899,1,1,81,-0.12627390673614486,62
flat,2,all_uniform,진열 제한·선호 제거,diagnostic_code,11535.927083333334,7771.989583333333,-0.3262795848838186,1,1,93,-0.19699248862964305,42
flat,2,strict,선호 없으면 미구매,code_required,5742.825,6952.1375,0.2105779820906959,0.4817916666666667,0.7889166666666667,49,-0.13647640005592934,45
flat,2,strict_all,미구매 규칙·전체 진열,diagnostic_code,5787.11875,6399.05,0.10574022694799567,0.6410833333333333,1,65,-0.14367613129302614,55
flat,2,top,고가순 진열,code_required,13859.591666666667,15925.975,0.14909409909262594,1,1,11,-0.035076538416044314,121
draft,0,baseline,현재 선호90%,baseline,15945.089583333332,9777.1375,-0.3868245487802344,1,1,99,-0.20775606267872784,58
draft,0,pref50,선호50%,existing_csv,15971.89375,10051.222916666668,-0.3706931016450903,1,1,99,-0.19468721658150287,58
draft,0,pref100,선호100%,existing_csv,15998.108333333334,9743.13125,-0.390982293219042,1,1,99,-0.21555912194325816,58
draft,0,weight4,고급 진열4배,code_required,19013.691666666666,14925.089583333332,-0.21503462636354598,1,1,98,-0.10737942045495998,60
draft,0,weight20,고급 진열20배,diagnostic_code,20297.43125,18842.247916666667,-0.07169298003329039,1,1,76,-0.10737942045495998,61
draft,0,all,진열 제한 제거,diagnostic_code,8556.304166666667,4881.75625,-0.4294550363206855,1,1,96,-0.23353784465937152,19
draft,0,uniform,선호 무시,diagnostic_code,16308.966666666667,10258.033333333333,-0.37101880560591416,1,1,100,-0.20528322382468295,58
draft,0,all_uniform,진열 제한·선호 제거,diagnostic_code,11611.05,7797.970833333334,-0.32840089110516846,1,1,93,-0.19798937539525455,42
draft,0,strict,선호 없으면 미구매,code_required,3051.9041666666667,4088.7,0.33972096655503314,0.23854166666666668,0.48983333333333334,33,-0.333912310432364,8
