demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,0,1,12001,314.9770833333333,0.390565301741397,3.1981014188983345,321.2453621143741,308.7088045522926,17638.716666666667,18000,-361.28333333333285
flat,0,baseline,0,2,12002,1029.0958333333333,1.2760583100621798,8.819060008528366,1046.381190950049,1011.8104757166177,57629.36666666667,39000,18629.36666666667
flat,0,baseline,0,4,12003,1789.6291666666666,2.2191044760696768,13.592096205396102,1816.269675229243,1762.9886581040903,100219.23333333334,46000,54219.23333333334
flat,0,baseline,0,8,12004,2374.7708333333335,2.944668473248722,19.400935956505585,2412.7966678080843,2336.7449988585827,132987.1666666667,42000,90987.16666666669
flat,0,baseline,0,16,12005,8590.28125,10.651777433912939,60.85851289629236,8709.563935276734,8470.998564723266,481055.75,176000,305055.75
flat,0,baseline,0,32,12006,14936.564583333333,18.521042203237897,100.65560069635922,15133.849560698196,14739.27960596847,836447.6166666667,198000,638447.6166666667
flat,0,baseline,1,3,12002,688.9729166666667,0.614363579618497,8.213343763753684,705.071070443624,672.8747628897095,38582.48333333334,39000,-417.5166666666628
flat,0,baseline,1,5,12003,1305.68125,1.1642881558707914,12.649776199256497,1330.4748113505427,1280.8876886494575,73118.15000000001,46000,27118.15000000001
flat,0,baseline,1,9,12004,1805.9104166666666,1.6103471721667795,19.86587617022106,1844.8475339602999,1766.9732993730333,101130.98333333334,42000,59130.98333333334
flat,0,baseline,1,17,12005,6839.872916666666,6.099178512777452,61.831301677843584,6961.06226795524,6718.683565378093,383032.8833333333,176000,207032.8833333333
flat,0,baseline,1,33,12006,11948.502083333333,10.654590816880058,102.7302181997118,12149.853311004768,11747.150855661897,669116.1166666667,198000,471116.1166666667
flat,0,baseline,2,3,12001,-25.145833333333332,-0.013699267594251982,5.851034743678837,-13.677805235722811,-36.61386143094386,-1408.1666666666665,18000,-19408.166666666668
flat,0,baseline,2,6,12003,909.7416666666667,0.4956206608109013,11.701571974889703,932.6767477374505,886.8065855958829,50945.53333333333,46000,4945.533333333333
flat,0,baseline,2,10,12004,1411.8916666666667,0.7691883382572761,18.61883393710728,1448.384581183397,1375.3987521499364,79065.93333333333,42000,37065.933333333334
flat,0,baseline,2,18,12005,5943.754166666667,3.2381141545100327,59.0840748095328,6059.558953293351,5827.949380039982,332850.23333333334,176000,156850.23333333334
flat,0,baseline,2,34,12006,10700.814583333333,5.829726162196151,99.38074310153672,10895.600839812345,10506.02832685432,599245.6166666667,198000,401245.6166666667
flat,0,baseline,3,7,12003,744.9604166666667,0.41148608916696106,11.046063446817165,766.6107010224283,723.310132310905,41717.78333333333,46000,-4282.216666666667
flat,0,baseline,3,11,12004,1158.9375,0.6401503338899124,18.253699547923635,1194.7147511139303,1123.1602488860697,64900.5,42000,22900.5
