"source","destination","guid"
"Assets/DystopiaPrototype/Art/Bandage.png","Assets/Textures/Checkout/Products/Legacy/Bandage.png","ff2c923cbd38d8f408f1263c99b8ea2b"
"Assets/DystopiaPrototype/Art/Battery.png","Assets/Textures/Checkout/Products/Legacy/Battery.png","a1890a0fe547b394496e7e56a7bc8f98"
"Assets/DystopiaPrototype/Art/BoothBarricade.png","Assets/Textures/Checkout/Shop/BoothBarricade.png","c10c73fc054ac19498fffbbacf16b031"
"Assets/DystopiaPrototype/Art/BoothCanopy.png","Assets/Textures/Checkout/Shop/BoothCanopy.png","6978fa40aee53b643836c083c2dd4d52"
"Assets/DystopiaPrototype/Art/BoothCounter.png","Assets/Textures/Checkout/Shop/BoothCounter.png","dec0edb6a0a29eb4ba990f92dff08f2b"
"Assets/DystopiaPrototype/Art/Can.png","Assets/Textures/Checkout/Products/Legacy/Can.png","0bd04b7017c4fa84094c818943317338"
"Assets/DystopiaPrototype/Art/ChimneySmoke0.png","Assets/Textures/Checkout/Effects/ChimneySmoke0.png","8146c36afd06422a92ae965371323f2e"
"Assets/DystopiaPrototype/Art/ChimneySmoke1.png","Assets/Textures/Checkout/Effects/ChimneySmoke1.png","a732901af7a142c68d5ff1e17b15dc79"
"Assets/DystopiaPrototype/Art/ChimneySmoke2.png","Assets/Textures/Checkout/Effects/ChimneySmoke2.png","9ee90dc6331641169fb2748b57111bac"
"Assets/DystopiaPrototype/Art/ChimneySmoke3.png","Assets/Textures/Checkout/Effects/ChimneySmoke3.png","06504071d22a47b386d3a3a7053d2364"
"Assets/DystopiaPrototype/Art/Counter.png","Assets/Textures/Checkout/Shop/Counter.png","b8b405d086908a542a68b296eb646229"
"Assets/DystopiaPrototype/Art/CounterClock1.png","","d1c438adc8214e744befbcca7268d723"
"Assets/DystopiaPrototype/Art/CounterClockNormal.png","Assets/Textures/Checkout/Shop/Stage3ClockNormal.png","b5a11b12b4ba4fd49b86e1c6674c0793"
"Assets/DystopiaPrototype/Art/Crackers.png","Assets/Textures/Checkout/Products/Legacy/Crackers.png","80a3439022bd3054ab1d7a3a9a33cc0f"
"Assets/DystopiaPrototype/Art/Crowd.png","","26d6bf1c76ce1984da914d8370314ac8"
"Assets/DystopiaPrototype/Art/CrowdBack.png","Assets/Textures/Checkout/Characters/CrowdBack.png","7c746110a1d6bff44bb5e422328cb82c"
"Assets/DystopiaPrototype/Art/CrowdFront.png","Assets/Textures/Checkout/Characters/CrowdFront.png","38fc8765ba9bcc14e9475d993dc60520"
"Assets/DystopiaPrototype/Art/CrowdMiddle.png","Assets/Textures/Checkout/Characters/CrowdMiddle.png","27ea243b3280a6d48a50257d78565fb9"
"Assets/DystopiaPrototype/Art/DailyInstruction.png","Assets/Textures/Checkout/UI/DailyInstruction.png","91cbf5fa51af4690bed80b78400fcbdb"
"Assets/DystopiaPrototype/Art/DailyLedger.png","Assets/Textures/Checkout/UI/DailyLedger.png","8d3c27e5fb984a4e979b295e18ee51b2"
"Assets/DystopiaPrototype/Art/DialogueFrame.png","Assets/Textures/Checkout/UI/DialogueFrame.png","c098d249b6e102c46a26d2be06dbd308"
"Assets/DystopiaPrototype/Art/ExtractedWatchTowers.png","Assets/Editor/Checkout/SourceTextures/ExtractedWatchTowers.png","64b2b5bd3eebcbd428518c7d4ba673f5"
"Assets/DystopiaPrototype/Art/FARBACKGROUND.png","Assets/Textures/Checkout/Background/FARBACKGROUND.png","8828d23a57ac09d4db48ac618820ad7b"
"Assets/DystopiaPrototype/Art/FogBack.mat","Assets/Materials/Checkout/FogBack.mat","25184aa25fc6458993180d5b1b7fabeb"
"Assets/DystopiaPrototype/Art/FogBack.png","Assets/Textures/Checkout/Effects/FogBack.png","ef4c55532956466b9df1c26a4fd8fc4e"
"Assets/DystopiaPrototype/Art/FogFront.mat","Assets/Materials/Checkout/FogFront.mat","df82a218fe354b8ead6163ea40ea1821"
"Assets/DystopiaPrototype/Art/FogFront.png","Assets/Textures/Checkout/Effects/FogFront.png","5f176efe93944680a2c22cc7bbc8ae11"
"Assets/DystopiaPrototype/Art/FogMid.mat","Assets/Materials/Checkout/FogMid.mat","d48fa113cbdd44fe88d4786f7d954897"
"Assets/DystopiaPrototype/Art/FogMid.png","Assets/Textures/Checkout/Effects/FogMid.png","224e6b0c3cfb4a32a560db7fbde73e52"
"Assets/DystopiaPrototype/Art/Fuel.png","Assets/Textures/Checkout/Products/Legacy/Fuel.png","2905dc05a8c11c54da21962a77406a8f"
"Assets/DystopiaPrototype/Art/GuardNeutral.mat","Assets/Materials/Checkout/GuardNeutral.mat","5e537d872b1f4b928229e214b072484d"
"Assets/DystopiaPrototype/Art/Hands.png","Assets/Textures/Checkout/UI/Hands.png","b960ea489f33e484fa62df90f24bf399"
"Assets/DystopiaPrototype/Art/Inspector.png","Assets/Textures/Checkout/Characters/Inspector.png","5ec7b88773b5f754b9c36efbac851495"
"Assets/DystopiaPrototype/Art/InspectorBody.png","","99eee00de85e12943b99e961469168fc"
"Assets/DystopiaPrototype/Art/InspectorHead.png","Assets/Textures/Checkout/Characters/InspectorHead.png","a89154b1697d83943b3151e14c2e0e73"
"Assets/DystopiaPrototype/Art/InspectorNormal.png","","a4bd502b30586284aa433acaaafebf68"
"Assets/DystopiaPrototype/Art/InspectorPortrait.shader","","947b16e8967e32641b790f93eef147b5"
"Assets/DystopiaPrototype/Art/InstructionStartStamp.png","Assets/Textures/Checkout/UI/InstructionStartStamp.png","92448e477998d824896a965dabe399bf"
