name	source	bbox	offset	fill	aspect	bodyHeightRatio
MaleCustomer_01	732x1110	648x1098	(42,0)	88 %	0.59	99 %
MaleCustomer_02	659x1000	524x966	(87,1)	77 %	0.54	97 %
MaleCustomer_03	710x1075	680x1065	(30,0)	95 %	0.64	99 %
MaleCustomer_04	762x1062	702x1056	(42,0)	92 %	0.66	99 %
MaleCustomer_05	816x996	720x990	(48,0)	88 %	0.73	99 %
MaleCustomer_06	858x948	750x942	(54,0)	87 %	0.80	99 %
MaleCustomer_07	816x996	660x972	(84,0)	79 %	0.68	98 %
MaleCustomer_08	816x996	708x954	(72,0)	83 %	0.74	96 %
MaleCustomer_09	816x996	492x972	(186,0)	59 %	0.51	98 %
MaleCustomer_10	815x945	745x935	(35,0)	90 %	0.80	99 %
MaleCustomer_11	930x1080	880x1055	(30,5)	92 %	0.83	98 %
MaleCustomer_12	1116x1296	828x1248	(150,0)	71 %	0.66	96 %
MaleCustomer_13	1018x1544	981x1492	(15,0)	93 %	0.66	97 %
MaleCustomer_14	1019x1544	977x1520	(25,0)	94 %	0.64	98 %
MaleCustomer_15	1018x1544	954x1501	(42,0)	91 %	0.64	97 %
MaleCustomer_16	610x925	525x900	(50,0)	84 %	0.58	97 %
MaleCustomer_17	610x925	455x895	(130,0)	72 %	0.51	97 %
MaleCustomer_18	610x925	460x880	(65,0)	72 %	0.52	95 %
MaleCustomer_19	610x925	580x900	(15,0)	93 %	0.64	97 %
MaleCustomer_20	610x925	500x910	(70,0)	81 %	0.55	98 %
MaleCustomer_21	610x925	545x890	(50,0)	86 %	0.61	96 %
MaleCustomer_22	610x925	580x900	(25,0)	93 %	0.64	97 %
MaleCustomer_23	610x925	490x870	(65,0)	76 %	0.56	94 %
MaleCustomer_24	610x925	460x895	(95,0)	73 %	0.51	97 %
MaleCustomer_25	1254x1254	1103x959	(81,68)	67 %	1.15	76 %
MaleCustomer_26	1254x1254	1072x1088	(113,33)	74 %	0.99	87 %
MaleCustomer_27	1254x1254	1135x985	(59,83)	71 %	1.15	79 %
MaleCustomer_28	810x1235	685x1210	(60,0)	83 %	0.57	98 %
MaleCustomer_29	915x1095	750x1060	(100,0)	79 %	0.71	97 %
MaleCustomer_30	915x1095	805x1005	(90,0)	81 %	0.80	92 %
FemaleCustomer_01	1002x1164	702x1134	(138,0)	68 %	0.62	97 %
FemaleCustomer_02	1150x1770	1060x1670	(60,0)	87 %	0.63	94 %
FemaleCustomer_03	744x1086	654x1008	(42,0)	82 %	0.65	93 %
FemaleCustomer_04	1044x1386	732x1338	(156,0)	68 %	0.55	97 %
FemaleCustomer_05	870x1155	685x1135	(100,0)	77 %	0.60	98 %
FemaleCustomer_06	912x1212	690x1176	(120,0)	73 %	0.59	97 %
FemaleCustomer_07	930x1080	710x1030	(120,20)	73 %	0.69	95 %
FemaleCustomer_08	186x216	149x211	(20,1)	78 %	0.71	98 %
FemaleCustomer_09	186x216	162x214	(21,1)	86 %	0.76	99 %
FemaleCustomer_10	1165x1350	1123x1305	(25,28)	93 %	0.86	97 %
FemaleCustomer_11	972x1134	912x1116	(36,0)	92 %	0.82	98 %
FemaleCustomer_12	1128x1280	1000x1232	(88,24)	85 %	0.81	96 %
FemaleCustomer_13	930x1080	705x1040	(115,0)	73 %	0.68	96 %
FemaleCustomer_14	1164x1351	652x1316	(256,0)	55 %	0.50	97 %
FemaleCustomer_15	1164x1351	752x1327	(228,0)	63 %	0.57	98 %
FemaleCustomer_16	1164x1351	696x1298	(217,0)	57 %	0.54	96 %
FemaleCustomer_17	1164x1351	723x1317	(227,0)	61 %	0.55	97 %
FemaleCustomer_18	1164x1351	702x1319	(249,0)	59 %	0.53	98 %
FemaleCustomer_19	1164x1351	656x1334	(263,0)	56 %	0.49	99 %
FemaleCustomer_20	1164x1351	626x1328	(275,0)	53 %	0.47	98 %
FemaleCustomer_21	1164x1351	754x1337	(217,0)	64 %	0.56	99 %
FemaleCustomer_22	1164x1351	618x1327	(271,0)	52 %	0.47	98 %
FemaleCustomer_23	930x1080	745x1045	(115,5)	78 %	0.71	97 %
FemaleCustomer_24	1147x1372	1080x1326	(26,26)	91 %	0.81	97 %
FemaleCustomer_25	1000x1000	765x810	(120,65)	62 %	0.94	81 %
FemaleCustomer_26	1000x1000	815x860	(95,30)	70 %	0.95	86 %
FemaleCustomer_27	1000x1000	770x895	(135,40)	69 %	0.86	90 %
FemaleCustomer_28	865x1155	665x1115	(100,0)	74 %	0.60	97 %
FemaleCustomer_29	815x1225	690x1175	(85,0)	81 %	0.59	96 %
FemaleCustomer_30	650x865	565x800	(30,0)	80 %	0.71	92 %
